MANAGEMENT_TYPE_USE,MANAGEMENT_STATUS_USE,JURISDICTION,JURISDICTIONAL_WATERS,FMP,SECTOR_USE,SUBSECTOR,REGION,ZONE_USE,SPP_NAME,CLUSTER
IGNORABLE,ONCE,FEDERAL,EEZ,SPINY LOBSTER FISHERY OF THE GULF OF MEXICO AND SOUTH ATLANTIC,RECREATIONAL,ALL,SOUTH ATLANTIC,ALL,ALL,52
IGNORABLE,ONCE,FEDERAL,EEZ,SPINY LOBSTER FISHERY OF THE GULF OF MEXICO AND SOUTH ATLANTIC,COMMERCIAL,ALL,SOUTH ATLANTIC,ALL,ALL,53
IGNORABLE,ONCE,FEDERAL,EEZ,SPINY LOBSTER FISHERY OF THE GULF OF MEXICO AND SOUTH ATLANTIC,RECREATIONAL,ALL,GULF OF MEXICO,ALL,ALL,54
IGNORABLE,ONCE,FEDERAL,EEZ,SPINY LOBSTER FISHERY OF THE GULF OF MEXICO AND SOUTH ATLANTIC,COMMERCIAL,ALL,GULF OF MEXICO,ALL,ALL,55
IGNORABLE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,ALL,GULF OF MEXICO,ALL,ALL,56
IGNORABLE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,ALL,ALL,57
DEFINITION,ONCE,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,RECREATIONAL,ALL,SOUTH ATLANTIC,ALL,ALL,58
DEFINITION,ONCE,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,COMMERCIAL,ALL,SOUTH ATLANTIC,ALL,ALL,59
DEFINITION,ONCE,FEDERAL,EEZ,SPINY LOBSTER FISHERY OF THE GULF OF MEXICO AND SOUTH ATLANTIC,RECREATIONAL,ALL,GULF OF MEXICO,ALL,ALL,60
DEFINITION,ONCE,FEDERAL,EEZ,SPINY LOBSTER FISHERY OF THE GULF OF MEXICO AND SOUTH ATLANTIC,COMMERCIAL,ALL,GULF OF MEXICO,ALL,ALL,61
DEFINITION,ONCE,FEDERAL,EEZ,SPINY LOBSTER FISHERY OF THE GULF OF MEXICO AND SOUTH ATLANTIC,RECREATIONAL,ALL,SOUTH ATLANTIC,ALL,ALL,62
DEFINITION,ONCE,FEDERAL,EEZ,SPINY LOBSTER FISHERY OF THE GULF OF MEXICO AND SOUTH ATLANTIC,COMMERCIAL,ALL,SOUTH ATLANTIC,ALL,ALL,63
DEFINITION,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,RECREATIONAL,ALL,MID ATLANTIC,ALL,ALL,64
DEFINITION,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,ALL,MID ATLANTIC,ALL,ALL,65
DEFINITION,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,RECREATIONAL,ALL,GULF OF MEXICO,ALL,ALL,66
DEFINITION,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,ALL,GULF OF MEXICO,ALL,ALL,67
DEFINITION,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,RECREATIONAL,ALL,SOUTH ATLANTIC,ALL,ALL,68
DEFINITION,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,ALL,SOUTH ATLANTIC,ALL,ALL,69
DEFINITION,ONCE,FEDERAL,EEZ,ATLANTIC COAST RED DRUM FISHERY,RECREATIONAL,ALL,SOUTH ATLANTIC,ALL,ALL,70
DEFINITION,ONCE,FEDERAL,EEZ,ATLANTIC COAST RED DRUM FISHERY,COMMERCIAL,ALL,SOUTH ATLANTIC,ALL,ALL,71
